nome;longitude;latitude
Santa Salete;-50.688.717;-20.242.918
Santana da Ponte Pensa;-50.801.357;-20.252.311
Santana de Parnaíba;-46.922.215;-23.442.514
Santo Anastácio;-51.652.662;-21.974.662
Santo André;-46.543.154;-23.67.373
Santo Antônio da Alegria;-47.146.372;-21.086.449
Santo Antônio de Posse;-46.91.919;-22.602.873
Santo Antônio do Aracanguá;-50.497.979;-20.933.114
Santo Antônio do Jardim;-46.684.487;-22.112.076
Santo Antônio do Pinhal;-45.663;-22.827
Santo Expedito;-51.392.894;-21.846.657
Santos;-46.335.042;-23.953.543
Santópolis do Aguapeí;-50.504.372;-21.637.574
Sarapuí;-47.824.863;-23.63.974
Sarutaiá;-49.476.259;-23.272.103
Sebastianópolis do Sul;-49.924.997;-20.652.323
Serra Azul;-47.560.243;-21.307.381
Serra Negra;-46.703.271;-22.613.941
Serrana;-47.595.239;-21.204.336
Sertãozinho;-47.987.496;-21.131.596
Sete Barras;-47.927.943;-24.382.048
Severínia;-48.80.538;-20.810.753
Silveiras;-44.852.157;-22.66.384
Socorro;-46.525.118;-22.590.264
Sorocaba;-47.445.073;-23.496.886
Sud Mennucci;-50.923.783;-20.687.225
Sumaré;-47.272.823;-22.820.416
Suzano;-46.311.181;-23.544.828
Suzanápolis;-51.026.761;-20.49.809
São Bento do Sapucaí;-45.728.677;-22.683.744
São Bernardo do Campo;-46.564.617;-23.691.412
São Caetano do Sul;-46.554.797;-23.62.287
São Carlos;-47.885.971;-22.017.395
São Francisco;-50.695.151;-20.362.291
São Joaquim da Barra;-47.859.316;-20.581.158
São José da Bela Vista;-47.642.413;-20.593.548
São José do Barreiro;-44.577.437;-22.641.353
São José do Rio Pardo;-46.887.303;-21.595.288
São José do Rio Preto;-49.375.767;-20.811.289
São José dos Campos;-45.884.115;-23.189.554
São João da Boa Vista;-46.794.356;-21.970.747
São João das Duas Pontes;-50.379.149;-20.387.857
São João de Iracema;-50.356.069;-20.511.059
São João do Pau d`Alho;-51.667.172;-21.266.249
São Lourenço da Serra;-46.94.316;-23.849.134
São Luiz do Paraitinga;-45.30.899;-23.220.521
São Manuel;-48.572.316;-22.732.081
São Miguel Arcanjo;-47.993.549;-23.878.197
São Paulo;-46.63.952;-23.532.905
São Pedro;-47.909.579;-22.548.256
São Pedro do Turvo;-49.742.829;-22.745.286
São Roque;-47.13.567;-23.522.598
São Sebastião;-45.414.314;-23.795.059
São Sebastião da Grama;-46.820.753;-21.704.109
São Simão;-47.551.755;-21.473.171
São Vicente;-46.388.333;-23.957.353
Tabapuã;-49.03.074;-20.960.171
Tabatinga;-48.689.577;-21.723.863
Taboão da Serra;-46.752.637;-23.601.867
Taciba;-51.288.221;-22.386.577
Taguaí;-49.402.377;-23.445.242
Taiaçu;-48.511.203;-21.143.144
Taiúva;-48.452.816;-21.122.333
Tambaú;-47.270.344;-21.70.292
Tanabi;-49.656.319;-20.62.279
Tapiratiba;-46.744.825;-21.471.324
Tapiraí;-47.506.248;-23.961.157
Taquaral;-48.412.553;-21.07.373
Taquaritinga;-48.510.345;-21.404.861
Taquarituba;-49.240.954;-23.530.709
Taquarivaí;-48.694.769;-23.921.116
Tarabai;-51.562.133;-22.301.612
Tarumã;-50.57.862;-22.742.873
Tatuí;-47.84.612;-23.348.731
Taubaté;-45.55.926;-23.010.414
Tejupá;-49.372.244;-23.342.458
Teodoro Sampaio;-52.168.175;-22.529.936
Terra Roxa;-48.331.442;-20.787.015
Tietê;-47.716.378;-23.110.098
Timburi;-49.609.583;-23.205.674
Torre de Pedra;-48.195.507;-23.246.173
Torrinha;-48.17.314;-22.423.721
Trabiju;-48.334.168;-22.038.783
Tremembé;-45.547.526;-22.95.714
Três Fronteiras;-50.890.528;-20.234.355
Tuiuti;-46.693.746;-22.819.324
Tupi Paulista;-51.575.004;-21.382.455
Tupã;-50.519.113;-21.933.528
Turiúba;-50.11.349;-20.942.758
Turmalina;-50.479.198;-20.048.588
Ubarana;-49.719.765;-21.164.965
Ubatuba;-45.083.415;-23.433.162
Ubirajara;-49.66.126;-22.527.208
Uchoa;-49.171.295;-20.951.106
União Paulista;-49.902.509;-20.886.227
Uru;-49.284.846;-21.786.641
Urupês;-49.293.103;-21.203.207
Urânia;-50.645.498;-20.245.461
Valentim Gentil;-50.088.928;-20.421.681
Valinhos;-46.997.367;-22.969.805
Valparaíso;-50.869.874;-21.222.929
Vargem;-46.412.447;-22.887.046
Vargem Grande Paulista;-47.022.038;-23.599.338
Vargem Grande do Sul;-46.891.286;-21.832.194
Vera Cruz;-49.820.735;-22.218.308
Vinhedo;-46.983.312;-23.030.184
Viradouro;-48.292.974;-20.873.382
Vista Alegre do Alto;-48.628.383;-21.169.222
Vitória Brasil;-50.487.452;-20.195.582
Votorantim;-47.438.753;-23.54.459
Votuporanga;-49.978.112;-20.423.659
Várzea Paulista;-46.823.444;-23.213.582
Zacarias;-50.055.222;-21.050.554
Águas da Prata;-46.717.622;-21.931.935
Águas de Lindóia;-46.631.441;-22.473.305
Águas de Santa Bárbara;-49.242.133;-22.881.186
Águas de São Pedro;-47.873.395;-22.597.749
Álvares Florence;-49.914.126;-20.320.341
Álvares Machado;-51.47.224;-22.076.415
Álvaro de Carvalho;-49.719.044;-22.084.132
Óleo;-49.341.924;-22.943.461
